headline,link,date,snippet,keyword
"On terrorism, Basque nationalism and a 'bar brawl' | Courts | Al ...",https://www.aljazeera.com/opinions/2017/7/10/on-terrorism-basque-nationalism-and-a-bar-brawl,Last update 10 Jul 2017,"Jul 10, 2017 ... The eight young men and a woman are facing charges of “terrorist injury” and “terrorist threat” for being involved in what many activists ...",Terrorism
Pakistan expects to avoid 'terrorism' financing blacklist | Business ...,https://www.aljazeera.com/economy/2019/10/17/pakistan-expects-to-avoid-terrorism-financing-blacklist,Last update 17 Oct 2019,"Oct 17, 2019 ... Pakistan expects to avoid 'terrorism' financing blacklist. With support from Beijing and others, Islamabad is likely to avert designation that ...",Terrorism
The Lebanon pager attack: Israel's terror playbook strikes again ...,https://www.aljazeera.com/opinions/2024/9/18/the-lebanon-pager-attack-israels-terror-playbook-strikes-again,Last update 18 Sep 2024,"Sep 18, 2024 ... But that is the whole point of terrorism, is it not? ... This particular diary entry, translated into English, appears in a 1980 book titled ...",Terrorism
Putin accuses Ukraine of Crimea bridge blast 'terrorism' | Russia ...,https://www.aljazeera.com/news/2022/10/10/putin-accuses-ukraine-of-crimea-bridge-blast-terrorism,Last update 10 Oct 2022,"Oct 10, 2022 ... Russian President Vladimir Putin has accused Ukraine of being behind the Kerch bridge explosion, masterminding an “act of terrorism” that ...",Terrorism
Hong Kong police arrest four students for 'advocating terrorism ...,https://www.aljazeera.com/news/2021/8/18/hong-kong-police-arrest-four-students-for-advocating-terrorism,18 Aug 2021,"Aug 18, 2021 ... Hong Kong have said they had arrested four students on suspicion of “advocating terrorism” after their student union passed a motion last month ...",Terrorism
Drop 'terrorism' charges against ex-PM Imran Khan: Pakistan court ...,https://www.aljazeera.com/news/2022/9/19/terrorism-charges-against-imran-khan-dropped-by-pakistan-court,Last update 19 Sep 2022,"Sep 19, 2022 ... A court in Pakistan has ordered that 'terrorism' charges against former Prime Minister Imran Khan for his remarks against a female judge and senior police ...",Terrorism
Egypt charges 200 people with terrorism | News | Al Jazeera,https://www.aljazeera.com/news/2014/5/10/egypt-charges-200-people-with-terrorism,10 May 2014,"May 10, 2014 ... Egypt charges 200 people with terrorism. Ansar Beit al-Maqdis members face mass trial for deadly attacks, but only 102 are in custody as 98 ...",Terrorism
Philippines: Mosque in Zamboanga hit by deadly grenade attack ...,https://www.aljazeera.com/news/2019/1/30/philippines-mosque-in-zamboanga-hit-by-deadly-grenade-attack,30 Jan 2019,"Jan 30, 2019 ... “Terrorism has once again reared its barbaric and ugly head,” Panelo said. ... “Nobody, but nobody, could perpetuate that kind of terrorism ...",Terrorism
Iran's Rouhani slams US 'economic terrorism' in clash with Trump ...,https://www.aljazeera.com/news/2018/9/25/irans-rouhani-slams-us-economic-terrorism-in-clash-with-trump,Last update 25 Sep 2018,"Sep 25, 2018 ... US President Donald Trump and his Iranian counterpart Hassan Rouhani clashed sharply at the UN General Assembly on Tuesday, with the former ...",Terrorism
US counter-terrorism abroad: Fighting terrorism or encouraging it ...,https://www.aljazeera.com/opinions/2014/6/14/us-counter-terrorism-abroad-fighting-terrorism-or-encouraging-it,14 Jun 2014,"Jun 14, 2014 ... The United States needed to “shift our counter-terrorism strategy – drawing on the successes and shortcomings of our experience in Iraq and Afghanistan.",Terrorism
Trump is inciting domestic terrorism | Donald Trump | Al Jazeera,https://www.aljazeera.com/opinions/2020/12/10/trump-is-inciting-domestic-terrorism,10 Dec 2020,"Dec 10, 2020 ... Trump's fantasy about “massive election fraud,” repeated by Republican lawmakers and amplified by right-wing media, is an incitement to violence ...",Terrorism
Hong Kong man accused of 'terrorism' under new Chinese law ...,https://www.aljazeera.com/economy/2020/7/3/hong-kong-man-accused-of-terrorism-under-new-chinese-law,Last update 3 Jul 2020,"Jul 3, 2020 ... Tong Ying-kit first person to face charges of inciting secession and 'terrorism' under national security law.",Terrorism
Israeli minister dismisses US 'terror' label after deadly settler attack ...,https://www.aljazeera.com/news/2023/8/8/israeli-minister-dismisses-us-terror-label-after-deadly-settler-attack,Last update 8 Aug 2023,"Aug 8, 2023 ... In remarks to local media, Smotrich said: “I refuse to fund incitement and terrorism.” Source: Al Jazeera and news agencies. Related. Israel ...",Terrorism
Redefining 'terrorism' in America | Islamophobia | Al Jazeera,https://www.aljazeera.com/opinions/2019/8/21/redefining-terrorism-in-america,Last update 21 Aug 2019,"Aug 21, 2019 ... The American nation seems to be edging closer to the full recognition that the terror of its own racist white supremacy is far more serious.",Terrorism
Iran FM Zarif: US sanctions are 'economic terrorism' | Nuclear ...,https://www.aljazeera.com/program/talk-to-al-jazeera/2019/5/4/iran-fm-zarif-us-sanctions-are-economic-terrorism,4 May 2019,"May 4, 2019 ... Iran FM Zarif: US sanctions are 'economic terrorism'. Iran's foreign minister discusses US sanctions, foreign intervention in the region, and ...",Terrorism
Iran sanctions 24 US officials over 'terrorism' and rights abuses ...,https://www.aljazeera.com/news/2022/4/9/iran-sanctions-us-officials-over-terrorism-and-rights-abuses,9 Apr 2022,"Apr 9, 2022 ... Iran has added 24 United States officials and people to its blacklist of sanctioned individuals over charges of “terrorism” and violations of human rights.",Terrorism
Emmanuel Macron visits French troops in northern Mali | News | Al ...,https://www.aljazeera.com/news/2017/5/19/emmanuel-macron-visits-french-troops-in-northern-mali,19 May 2017,"May 19, 2017 ... He was met by Malian President Ibrahim Boubacar Keita with whom he held talks on the fight against “terrorism”. ... terrorist groups” in the ...",Terrorism
UN: defining terrorism | Features | Al Jazeera,https://www.aljazeera.com/features/2010/11/24/un-defining-terrorism,24 Nov 2010,"Nov 24, 2010 ... UN: defining terrorism. The UN remains unable to draw a distinction between “freedom fighters” and “state sponsored terrorism”. Depicting ...",Terrorism
"Venezuela arrests Freddy Guevara for 'terrorism, treason' | Nicolas ...",https://www.aljazeera.com/news/2021/7/13/venezuela-arrests-freddy-guevara-for-terrorism-treason,13 Jul 2021,"Jul 12, 2021 ... Venezuela arrests Freddy Guevara for 'terrorism, treason'. Arrest came as unidentified armed men threatened opposition leader Juan Guaido in the ...",Terrorism
Israeli forces say will clamp down on settler 'terrorism' | Israel ...,https://www.aljazeera.com/news/2023/6/25/israeli-forces-say-will-clamp-down-on-settler-terrorism,Last update 25 Jun 2023,"Jun 25, 2023 ... Israeli security chiefs have deemed a string of settler attacks on Palestinian villages in the past week as “nationalist terrorism”, drawing ire ...",Terrorism
When Britain feared Zionist terrorism | News | Al Jazeera,https://www.aljazeera.com/news/2003/5/21/when-britain-feared-zionist-terrorism,21 May 2003,"May 21, 2003 ... Internal MI5 security service documents released today show that London feared Zionists were planning to set up assassination and sabotage cells ...",Terrorism
Saudi Arabia forms Muslim 'anti-terrorism' coalition | ISIL/ISIS News ...,https://www.aljazeera.com/news/2015/12/15/saudi-arabia-forms-muslim-anti-terrorism-coalition,15 Dec 2015,"Dec 15, 2015 ... Saudi Arabia has formed a coalition of 34 mainly Muslim countries – including powers such as Egypt and Turkey – to coordinate a fight against “ ...",Terrorism
Official says Egypt in war against terrorism | News | Al Jazeera,https://www.aljazeera.com/news/2013/8/17/official-says-egypt-in-war-against-terrorism,17 Aug 2013,"Aug 17, 2013 ... Presidential adviser labels anti-coup protesters as extremists who are escalating violence to a “terrorist war”.",Terrorism
"China ups rhetoric, warns of signs of 'terrorism' in HK protests | Hong ...",https://www.aljazeera.com/news/2019/8/12/china-ups-rhetoric-warns-of-signs-of-terrorism-in-hk-protests,Last update 12 Aug 2019,"Aug 12, 2019 ... China has ratcheted up its rhetoric towards Hong Kong's months-long protest movement, warning that violent anti-government demonstrations were ...",Terrorism
"Over 1,800 'terrorist attacks' in West Africa in 2023: ECOWAS ...",https://www.aljazeera.com/news/2023/7/26/over-1800-terrorist-attacks-in-west-africa-in-2023-ecowas,26 Jul 2023,"Jul 26, 2023 ... Over 1,800 'terrorist attacks' in West Africa in 2023: ECOWAS. The West African bloc is set to discuss strengthening a regional standby force to ...",Terrorism
'Pure terrorism': World reacts to Israeli settler attack in West Bank ...,https://www.aljazeera.com/news/2024/8/16/pure-terrorism-world-reacts-to-israeli-settler-attack-in-west-bank,Last update 17 Aug 2024,"Aug 16, 2024 ... 'Pure terrorism': World reacts to Israeli settler attack in West Bank. Deadly attack on Palestinian village of Jit sparks condemnation and calls ...",Terrorism
Austria drops bogus 'terrorism' charges against Muslim academic ...,https://www.aljazeera.com/news/2023/1/11/austria-drops-bogus-terrorism-charges-against-muslim-academic,Last update 11 Jan 2023,"Jan 11, 2023 ... “Terrorism” charges against an Austrian academic, Farid Hafez, have been dropped after an Al Jazeera documentary revealed the case was based on false evidence ...",Terrorism
EU adds Saudi Arabia to draft 'terrorism financing' list: Report ...,https://www.aljazeera.com/economy/2019/1/25/eu-adds-saudi-arabia-to-draft-terrorism-financing-list-report,Last update 25 Jan 2019,"Jan 25, 2019 ... The European Commission has added Saudi Arabia to a European Union draft list of countries that pose a threat to the bloc because of lax ...",Terrorism
Pope urges Muslims to fight terrorism | News | Al Jazeera,https://www.aljazeera.com/news/2005/8/20/pope-urges-muslims-to-fight-terrorism,20 Aug 2005,"Aug 20, 2005 ... Pope Benedict XVI has decried what he called cruel fanaticism of terrorism and urged Muslims to join Christians in trying to combat its ...",Terrorism
Libya asks world to help it fight 'terrorism' | News | Al Jazeera,https://www.aljazeera.com/news/2014/3/20/libya-asks-world-to-help-it-fight-terrorism,20 Mar 2014,"Mar 20, 2014 ... “Libya's interim government asks the international community and especially the United Nations to provide assistance to uproot terrorism,” the ...",Terrorism
Iran's Zarif to Trump: Drop 'economic terrorism' before talks ...,https://www.aljazeera.com/news/2019/8/29/irans-zarif-to-trump-drop-economic-terrorism-before-talks,29 Aug 2019,"Aug 29, 2019 ... Kuala Lumpur, Malaysia – Iran will not be meeting with the administration of US President Donald Trump unless Washington stops its “economic ...",Terrorism
New Zealand police 'terrorism raids unlawful' | News | Al Jazeera,https://www.aljazeera.com/news/2013/5/22/new-zealand-police-terrorism-raids-unlawful,22 May 2013,"May 22, 2013 ... New Zealand police 'terrorism raids unlawful'. Maori call for apology after report finds police intimidated people during anti-terrorism ...",Terrorism
Don't make the same anti-terrorism mistakes in Mali | Opinions | Al ...,https://www.aljazeera.com/opinions/2013/1/15/dont-make-the-same-anti-terrorism-mistakes-in-mali,15 Jan 2013,"Jan 15, 2013 ... Don't make the same anti-terrorism mistakes in Mali. Balancing the interests of stakeholders in the Malian polity will be difficult, however ...",Terrorism
Luigi Mangione pleads not guilty to 'terrorism' in US healthcare CEO ...,https://www.aljazeera.com/news/2024/12/23/luigi-mangione-pleads-not-guilty-to-terrorism-in-us-healthcare-ceo-murder,23 Dec 2024,"Dec 23, 2024 ... Luigi Mangione, the 26-year-old man accused of fatally shooting United Healthcare CEO Brian Thompson, has pleaded not guilty to New York state ...",Terrorism
Hezbollah's Hassan Nasrallah accuses Saudi Arabia of 'terrorism ...,https://www.aljazeera.com/news/2022/1/3/hezbollahs-nasrallah-accuses-saudi-arabia-of-terrorism,Last update 4 Jan 2022,"Jan 3, 2022 ... Hezbollah Secretary-General Hassan Nasrallah has accused Saudi Arabia of exporting ISIL (ISIS) ideology and transporting cars rigged with explosives for ...",Terrorism
Beirut wants 'terrorism' defined | News | Al Jazeera,https://www.aljazeera.com/news/2004/1/13/beirut-wants-terrorism-defined,13 Jan 2004,"Jan 13, 2004 ... Beirut wants 'terrorism' defined. Lebanese President Emile Lahoud has called for an international definition of terrorism, extending beyond that ...",Terrorism
What is Pakistan's Imran Khan accused of? | Imran Khan News | Al ...,https://www.aljazeera.com/news/2023/3/17/why-pakistan-police-wants-to-arrest-imran-khan,Last update 9 May 2023,"Mar 17, 2023 ... The cases against the 70-year-old cricketer-turned-politician include charges of corruption, terrorism, contempt of courts, rioting and even blasphemy.",Terrorism
"Imran Khan, Bushra Bibi face 'terrorism' charges after Islamabad ...",https://www.aljazeera.com/news/2024/11/28/imran-khan-bushra-bibi-face-terrorism-charges-after-islamabad-protests,Last update 28 Nov 2024,"Nov 28, 2024 ... Khan, Bibi and others have been accused of “terrorism”, violations of a law that restricts protests in the capital, attacks on police, abduction ...",Terrorism
UN chief calls for Sudan removal from US 'terrorism' list | News | Al ...,https://www.aljazeera.com/news/2020/2/10/un-chief-calls-for-sudan-removal-from-us-terrorism-list,Last update 10 Feb 2020,"Feb 10, 2020 ... UN Secretary-General Antonio Guterres has called for Sudan to be removed from the US list of state sponsors of terrorism.",Terrorism
Israel ties will help remove Sudan from US terrorism list: Dagalo ...,https://www.aljazeera.com/news/2020/10/3/dagalo-israeli-ties-will-remove-sudan-from-us-terrorism-list,Last update 3 Oct 2020,"Oct 3, 2020 ... Dagalo, also known as Hemeti, said establishing relations with Israel will fulfil a promise by the United States to remove Sudan from its list of countries ...",Terrorism
Niger adopts new wire-tapping legislation on curbing 'terrorism ...,https://www.aljazeera.com/news/2020/5/30/niger-adopts-new-wire-tapping-legislation-on-curbing-terrorism,Last update 30 May 2020,"May 30, 2020 ... Niger adopts new wire-tapping legislation on curbing 'terrorism'. Opposition raises privacy concerns but government insists new law 'is not a ...",Terrorism
Saudi Arabia executes two Bahrainis accused of 'terrorism' | News ...,https://www.aljazeera.com/news/2023/5/29/saudi-arabia-executes-two-bahrainis-accused-of-terrorism,29 May 2023,"May 29, 2023 ... Saudi Arabia has put to death two Bahrainis accused of plotting “terrorist” operations, the Saudi Ministry of Interior said on Monday, raising ...",Terrorism
The wrong mindset to fight terrorism | Bashar al-Assad | Al Jazeera,https://www.aljazeera.com/opinions/2016/3/25/the-wrong-mindset-to-fight-terrorism,Last update 25 Mar 2016,"Mar 25, 2016 ... Indiscriminate attacks. What all of these attacks have in common is the desire to terrorise and paralyse civilian life and the daily routines of ...",Terrorism
Russian playwright and director go on trial over 'justifying terrorism ...,https://www.aljazeera.com/news/2024/5/20/russian-playwright-and-director-go-on-trial-over-justifying-terrorism,20 May 2024,"May 20, 2024 ... Russian playwright and director go on trial over 'justifying terrorism'. Director Yevgeniya Berkovich and writer Svetlana Petriychuk were ...",Terrorism
"Terrorism has no nationality, ethnicity or religion | Turkey Attempted ...",https://www.aljazeera.com/opinions/2022/7/15/terrorism-has-no-nationality-ethnicity-nor-religion,15 Jul 2022,"Jul 15, 2022 ... Terrorism does not have a nationality, ethnicity or religion. This menace threatens humanity as a whole. Therefore, the response to this threat must be united ...",Terrorism
Iran responds in kind to Trump's IRGC 'terrorist' designation | News ...,https://www.aljazeera.com/news/2019/4/8/iran-responds-in-kind-to-trumps-irgc-terrorist-designation,Last update 8 Apr 2019,"Apr 8, 2019 ... Iran's Supreme National Council has moved swiftly to brand the United States as a “state sponsor of terrorism”, in a tit-for-tat response to ...",Terrorism
El Paso shooting to be probed as 'domestic terrorism' | Gun Violence ...,https://www.aljazeera.com/news/2019/8/4/el-paso-shooting-to-be-probed-as-domestic-terrorism,4 Aug 2019,"Aug 4, 2019 ... El Paso shooting to be probed as 'domestic terrorism'. US authorities say they will seek death penalty for suspect, 21-year-old Patrick Crusius ...",Terrorism
Egypt Brotherhood rejects 'terrorism' charge | News | Al Jazeera,https://www.aljazeera.com/news/2013/8/28/egypt-brotherhood-rejects-terrorism-charge,28 Aug 2013,"Aug 28, 2013 ... Egypt Brotherhood rejects 'terrorism' charge. Senior Muslim Brotherhood official currently in hiding says coup leaders' hands are 'drowned in ...",Terrorism
Merkel: 'Islam is not the source of terrorism' | Islamophobia News | Al ...,https://www.aljazeera.com/news/2017/2/18/merkel-islam-is-not-the-source-of-terrorism,18 Feb 2017,"Feb 18, 2017 ... German Chancellor Angela Merkel has said Islam is not the source of “terrorism” and that cooperating with predominantly Muslim states in the ...",Terrorism
Ethiopia: Suspects in killing of musician charged with terrorism ...,https://www.aljazeera.com/news/2020/10/3/ethiopia-suspects-in-killing-of-musician-charged-with-terrorism,3 Oct 2020,"Oct 3, 2020 ... Among them was prominent media mogul and Oromo opposition politician Jawar Mohammed, charged with violating anti-terrorism, telecom fraud and ...",Terrorism
Latest UK 'terrorism' legislation criticised by rights groups | Science ...,https://www.aljazeera.com/news/2020/5/21/latest-uk-terrorism-legislation-criticised-by-rights-groups,Last update 21 May 2020,"May 21, 2020 ... The burden of proof would be lowered for officials considering placing “terrorism prevention and investigation measures” (TPIMs) against ...",Terrorism
Israel says credit card hack is 'terrorism' | News | Al Jazeera,https://www.aljazeera.com/news/2012/1/8/israel-says-credit-card-hack-is-terrorism,8 Jan 2012,"Jan 8, 2012 ... Israel has said the online publication of thousands of its citizens' credit card details by a hacker who says he is based in Saudi Arabia is ...",Terrorism
Algeria issues 'terrorism' warrants for exiled activists | Politics News ...,https://www.aljazeera.com/news/2021/3/22/algeria-issues-terrorism-warrants-for-exiled-activists,Last update 22 Apr 2021,"Mar 22, 2021 ... A court in Algeria has issued arrest warrants for outspoken exiled activists – a former diplomat, a blogger and a journalist – accusing them of ...",Terrorism
Australia is guilty of state-sponsored terrorism | Opinions | Al Jazeera,https://www.aljazeera.com/opinions/2020/11/24/australia-is-guilty-of-state-sponsored-terrorism,Last update 24 Nov 2020,"Nov 24, 2020 ... Australia is guilty of state-sponsored terrorism ... And it is time Australians admit it ...",Terrorism
"Arab world tweets: Hamas is resistance, not terrorism | Science and ...",https://www.aljazeera.com/features/2017/6/11/arab-world-tweets-hamas-is-resistance-not-terrorism,Last update 11 Jun 2017,"Jun 11, 2017 ... Thousands of social media users stressed that resistance is the right of the Palestinian people in order to obtain freedom from the Israeli occupation.",Terrorism
Turkey's capital Ankara rocked by deadly explosion | News | Al ...,https://www.aljazeera.com/news/2016/2/17/turkeys-capital-ankara-rocked-by-deadly-explosion,17 Feb 2016,"Feb 17, 2016 ... ... terrorist” attack. Advertisement. Analysts and ... Deputy Prime Minister Bekir Bozdag said on Twitter the attack was an act of terrorism.",Terrorism
